"","title","link","teaser"
"30","Bigdata shows Covid-19 reshaping ESG; UN PRI’s long-term crisis plan; sustainable funds stand tall Premium","https://www.ft.com/content/fe90fc64-c76b-4490-83ce-cc783246b1ba","...Welcome to Moral Money! Today we have:Bigdata tracking Covid-19’s effect on ESGThe UN PRI outlines how responsible investors can rise to face the crisisMore evidence of ESG outperformanceWill..."
"31","Market indicators/internet search: unhealthy trending  Premium","https://www.ft.com/content/445fa7d7-6e49-4929-9f67-c0da369341b1","...potentially underestimating the impact of the coronavirus. Only a few days earlier, it had noted that Google searches for the virus were tailing off.BigData has a patchy record when it comes to health..."
"32","Coronavirus, Netflix results, China growth data","https://www.ft.com/content/54c779c4-2d23-4667-8129-7fe4e322db2a","...halted in Q1 but has bounced back. The latest growth data from the country is out on Monday.This week investors will also be busy tracking the third-quarter results of some big-hitters such as Netflix..."
"33","Backlash over sweeping UK regulations to protect children’s data","https://www.ft.com/content/7abc452c-3d38-11ea-a01a-bae547046735","...The UK is set to introduce sweeping new regulations to protect children’s data online, including in effect walling off large swaths of the web to under-18s, despite widespread criticism from a range of..."
"34","The hidden dangers of orphaned data","https://www.ft.com/content/d6a51bc0-e26f-4ed2-a298-7a97811dc427","...the time. We just never hear about it, so we assume our medical records, tax returns and travel documents are safe. Often, they are not.Most of the debate about data privacy has focused on Big Tech..."
"35","How to Make the World Add Up — a welcome guide to statistics","https://www.ft.com/content/12573b01-ba98-4f8f-8756-057f2b739250","...From remote working to online shopping, Covid-19 has been a great accelerator of pre-existing trends. One phenomenon it has supercharged is our love-hate relationship with statistics, data and..."
"36","Big Tech’s break-up with DC","https://www.ft.com/content/ccf00858-30a2-49d3-9ae9-7db3f58773b0","...In the end, the expected delay to the release of a congressional report on the power of Big Tech was only a few hours, but the impact of the 449-page document itself could last for yearsPublished..."
"37","US stocks hit new record after Moderna vaccine data","https://www.ft.com/content/f26556e1-bb96-42a7-a1f9-9608db660faf","...US stocks set a record close on Monday after biotech group Moderna lifted global markets with trial data that showed its coronavirus vaccine was highly effective.Wall Street’s benchmark S&P 500..."
"38","EU seeks to turbo-charge its ability to take on Big Tech  Premium","https://www.ft.com/content/32fbdae7-0b1d-4e9e-989c-574b6b0598af","...It took Brussels almost two years to bring formal antitrust charges against Amazon. New rules to curb the power of Big Tech could help accelerate future probes.On Tuesday, Margrethe Vestager, the EU..."
"39","Covid tracing fans public health vs privacy debate","https://www.ft.com/content/269d82ce-4523-4023-946f-9ded91ba63fc","...contact tracing has been downloaded 170,000 times.While phone interviews still play a part, bigdata and mobile phones have transformed the process, says Prof Kahn. That raises ethical issues that..."
"40","The growing momentum towards curbing Big Tech","https://www.ft.com/content/54078f25-b9d7-40d4-a44c-e2acbae32336",".... They can charge excessive fees, impose onerous contract terms, and hoard data. The big four have gone from “scrappy, underdog start-ups”, the report says, to the “kinds of monopolies we last saw in the..."
"41","Online ad groups urge UK to block Google’s privacy tools","https://www.ft.com/content/c559a684-f053-4c2f-8ed2-3cda60a8e036","...company even more power over the data that underpins online ads.Google has said that its Chrome browser, which is used by almost 70 per cent of desktop computers to surf the web, according to NetMarketShare..."
"42","Walmart and Home Depot extend pandemic winning streaks","https://www.ft.com/content/ed02767c-48cd-418f-baa9-49cd44ed5310","...Walmart and Home Depot have pulled further away from their struggling rivals in US retail as shoppers spent billions of dollars more than usual at the two big-box chains while shunning shopping malls..."
"43","What to watch for in the Big Tech earnings","https://www.ft.com/content/3068742e-0190-4aa0-b705-9adc6478d15e","...computing, where revenue is expected to grow more than 40 per cent, as well as consumer spending on things such as mobile apps, YouTube subscriptions and digital gadgets.Key data point: Google’s search..."
"44","US election, Fed and BoE meetings, American jobs data","https://www.ft.com/content/1c400f96-ff9d-4c7b-9966-69d7251254ba","...pharma companies and some of the big European banks also report.Aside from the US jobs figures, it is a fairly quiet week for data, with UK and US purchasing managers’ indices providing the other main..."
"45","Our personal data needs protecting from Big Tech","https://www.ft.com/content/04d3614e-078a-11ea-a984-fbbacad9e7dd","...sharing sensitive user data with big technology platforms, such as Google, Amazon, Facebook and Oracle and a number of smaller companies. In the US, there were revelations of Google’s own foray into..."
"46","Covid cases rise, Q3 earnings bonanza, US growth data","https://www.ft.com/content/dc99ed8e-d0d6-4710-b453-9c2004bc525a","...the successor of Justice Ruth Bader Ginsburg before the presidential election.Ms Barrett was quizzed last week in Senate hearings but very few comments were made on the big issues that are shaking up..."
"47","NHS signs up for Tim Berners-Lee pilot to reinvent web","https://www.ft.com/content/01480644-3ca3-486e-907d-4abf8aac1719","...Inrupt, the company founded by Tim Berners-Lee to promote a new data architecture for the web, has launched its first enterprise-ready Solid servers for use by more than a dozen partners, including the..."
"48","Biden wins election, SoftBank earnings, US inflation data","https://www.ft.com/content/a5587980-b5ac-403d-bdea-3355af5a2f02","...big names are scheduled to speak.McDonald’s and Walt Disney are two of the big names US investors will be watching, while in the UK commercial broadcaster ITV, retailer WHSmith and pub chain JD..."
"49","Artists offer privacy hope as facial recognition spreads","https://www.ft.com/content/15fb3c5a-2178-11ea-b8a1-584213ee7b2b","...piece of the “Mona Lisa” on their phones, our faces are being captured and co-opted.Now that our online data has been comprehensively mined, our behavioural surplus extracted, Big Tech is coming for our..."
"50","Google concedes on Fitbit data","https://www.ft.com/content/f45c914a-7ff9-4df5-a89f-6ca7e2fca31d","...The European Union appears to have extracted major concessions from Google on how it uses personal data, at least in terms of its acquisition of wearables maker Fitbit.Javier Espinoza in Brussels..."
"51","Big Four primed for new audit rules to speed legal push ","https://www.ft.com/content/98a816a4-1d4e-4d5b-819e-a55a38bbdd04","...“Be afraid,” American Lawyer warned its readers in 2014. “The Big Four are coming.”The magazine was proclaiming a new era for legal services. That year, three of the world’s largest accounting firms..."
"52","How an advertising minnow outgrew the big beasts","https://www.ft.com/content/e710b82e-40b8-4e59-bc71-e9e00345d769","...access good ad targeting data to sell to clients.Mr Green is convinced the connected market is too fragmented to be attractive to big players such as Amazon and Google. “You can set the rules when you’re..."
"53","Drive-throughs take the prize as hottest retail spots around","https://www.ft.com/content/f70501e4-573f-43b2-97fe-dbf9731d16a0","...-like basis and the drive-through performance was a big part of that,” he added.In total, the UK has 1,527 drive through sites, according to figures from the Local Data Company. Since the end of the..."
"54","Big Tech told it needs overhaul to stamp out competition abuse","https://www.ft.com/content/53e967b0-4d5f-4b8d-9969-310d627d9742","...throughout our economy. They not only wield tremendous power, but they also abuse it by charging exorbitant fees, imposing oppressive contract terms, and extracting valuable data from the people and..."
"55","EU puts Big Tech under the spotlight","https://www.ft.com/content/22fb3456-14c5-11ea-8d73-6303645ac406","...office this week. In the past she has hit out at Big Tech’s behaviour after it was revealed that Cambridge Analytica disseminated personal data from millions of Facebook users without their consent..."
"56","China is far ahead on drilling for data","https://www.ft.com/content/c1f9ca57-b7e0-4a9b-bd2e-8dd299d1bb92","...the US economy do thrive on a sophisticated understanding of the value of data, led by Big Tech groups such as Amazon, Google, Facebook and Apple. And individuals are becoming aware of the monetary..."
"57","EU targets Big Tech with ‘hit list’ facing tougher rules","https://www.ft.com/content/c8c5d5dc-cb99-4b1f-a8dd-5957b57a7783","...competitors and that they share data with rivals.In extreme circumstances, the EU will seek to address structural problems, by breaking up Big Tech, or by forcing companies to sell units if they are found..."
"58","Artificial intelligence is reshaping finance","https://www.ft.com/content/c7d9a81c-e6a3-4f37-bbfd-71dcefda3739","...banks and tech companies to find ways to use bigdata and artificial intelligence in finance. Essentially, Barclays and Amazon are linking data with AI analysis to approve credit (or not) and predict what..."
"59","Iron ore set to average $100 a tonne for the first time since 2013","https://www.ft.com/content/2a0f550c-4075-48ef-bda0-0f9e615ba8fb","...the best-performing major commodity of 2020, up almost up 38 per cent, according to data from S&P Global Platts. In contrast, gold, which benefited from investors looking for safe places to park cash..."
"60","EU accuses Amazon of breaching antitrust rules ","https://www.ft.com/content/4908995d-5ba4-4e14-a863-bcb8858e8bd2","...using non-public data it gathers on sales on its website to boost its own-label products and services.The EU has separately opened a second formal antitrust investigation into whether Amazon gave..."
"61","How can Big Tech best tackle conspiracy theories?","https://www.ft.com/content/2ab6a100-3fb4-4fec-8130-292cab48eb83","...tech giants have done extensive research into this subject, largely based on bigdata analysis and supplemented with insights from psychologists. But last year, a team of researchers at Jigsaw, a Google..."
"62","Why Joe Biden must go big Premium","https://www.ft.com/content/179f238e-b0f2-4af0-98dd-bc49b222d915","...Roosevelt.But there is a big question mark over whether Biden will be able to do anything all that ambitious. If Republicans retain their Senate majority, this will put great constraints on how much..."
"63","Big Four’s audit income jumps as firms raise prices ","https://www.ft.com/content/28ef75fe-9ad1-4317-84a7-96679f083a2d","...Audit income at the Big Four accounting firms rose at a multiyear-record rate last year, far outpacing their smaller rivals, as the groups raised prices to counter an increasingly harsh regulatory..."
"64","US bank results, German and UK economic data","https://www.ft.com/video/f21d3cb0-4966-4e81-ac25-e5dcd0c3aefb","...Europe's big economies? We'll be looking at growth data from Germany and the UK. And, the Women's March gets under way in Washington DC and across the US.First, to Wall Street, where bank earnings are upon..."
"65","Big brands turn to bigdata","https://www.ft.com/content/7a5e4ff2-c8ea-11e9-af46-b09e8bfe60c0","...online reviews, sifted by artificial intelligence, to help them respond to the newest fads and trends.Today's Big Read looks at the range of start-ups that have emerged to supercharge market research..."
"66","Trump’s prognosis, PMI data, Johnson seeks party unity","https://www.ft.com/content/246dd256-ba01-45f7-8637-8f0fa702ebd0",".... In the UK, complete lockdowns imposed on students on some university campuses have also drawn criticism.Monday brings a chance to test sentiment across many of the world’s big economies with the..."
"67","Data hacks and big fines drive cyber insurance growth","https://www.ft.com/content/751946b2-fb0a-11e9-a354-36acbbb0d9b6","...Data breaches can be expensive — just ask Marriott. The hotel group said last November that hackers had been accessing its database since 2014, compromising up to 339m guest records.Since then it has..."
"68","A public research cloud would stimulate innovation","https://www.ft.com/content/b5928d21-602e-4f10-bdf6-f0c123a96bfe","...There are two schools of thought about the market impact of BigData and artificial intelligence, although, paradoxically, both may be simultaneously true.The first says that only the biggest tech..."
"69","Palantir takes aim at Silicon Valley in IPO filing","https://www.ft.com/content/702757c2-2d8f-42c2-9260-99dcf449914f","...Palantir, the data analytics company whose work on counter-terrorism has made it one of the Silicon Valley’s most controversial tech concerns, has sought to draw a clear line between its own business..."
"70","Big Tech back under attack","https://www.ft.com/content/1fcd6f4d-e8ff-4337-ad22-6c1f49a82715","...Content and competition issues have returned to trouble Big Tech as it is targeted by the Trump administration and smaller rivals.On Wednesday, the Department of Justice sent draft legislation to..."
"71","Google revamps its strategy towards banking","https://www.ft.com/content/efa0a92f-b878-4c2e-a531-55b8501963a5","...A decade ago, when the biggest consumer tech companies first showed an interest in financial services, the banking world dug in for an all-out war. Now that Big Tech is finally stepping deeper into..."
"72","Corporate America’s deal with the Devil","https://www.ft.com/content/e49fdbcf-5992-4d17-8ccd-c5223707e14d","...leaders were thinking about the importance of liberal democracy in America and how to defend it. I also couldn’t help but feel that some of the corporate concern was a bit “too little, too late”. Most big..."
"73","Derivatives trading surges for big US tech companies","https://www.ft.com/content/6bd0167a-e60e-42f7-8854-d96c6e9901f5","...data from the Commodity Futures Trading Commission published on Friday.More than 490,000 Amazon options traded on Monday, more than six-times the daily average this year, according to data provider..."
"74","Facebook bans Holocaust denial","https://www.ft.com/content/20860089-b798-4780-ba5d-5eff383eb3c8","...caused by minimising or denying the horror of the Holocaust”. But he added that his “own thinking has evolved as I’ve seen data showing an increase in anti-Semitic violence”.Still, the move is also the..."
"75","City planners zero in on cyclists through exercise app","https://www.ft.com/content/bfd4dbaa-061b-11ea-9afa-d9e2401fa7ca","...crowdsourced resource the company describes as the “largest active transport data set on the planet”.The platform showcases the potential, as well as the risks, of using privately generated bigdata for..."
